"","estado","ano","turno","situacao","quantidade","proporcao"
"165","Pará",2006,1,"VALIDOS",3150676,0.378893315711559
"166","Pará",2006,2,"VALIDOS",3060718,0.368075165925678
"167","Pará",2010,1,"VALIDOS",3546584,0.744543380984521
"168","Pará",2010,2,"VALIDOS",3367597,0.706948001824682
"169","Pará",2014,1,"VALIDOS",3837674,0.740013690837744
"170","Pará",2014,2,"VALIDOS",3664299,0.706570978846829
"171","Paraíba",1989,1,"VALIDOS",1300191,0.740251887792022
"172","Paraíba",1989,2,"VALIDOS",1300191,0.740251887792022
"173","Paraíba",1994,1,"VALIDOS",1208408,0.577769320288825
"174","Paraíba",1998,1,"VALIDOS",1195480,0.537715129006562
"175","Paraíba",2002,1,"VALIDOS",1579200,0.680083442862138
"176","Paraíba",2002,2,"VALIDOS",1727430,0.743918782740213
"177","Paraíba",2006,1,"VALIDOS",1926654,0.374286939838354
"178","Paraíba",2006,2,"VALIDOS",1970902,0.382882903884813
"179","Paraíba",2010,1,"VALIDOS",1937986,0.707729905237276
"180","Paraíba",2010,2,"VALIDOS",1997310,0.729374095499215
"181","Paraíba",2014,1,"VALIDOS",2097812,0.740025864422732
"182","Paraíba",2014,2,"VALIDOS",2148904,0.758022914550175
"183","Paraná",1989,1,"VALIDOS",4277224,0.847709283248501
"184","Paraná",1989,2,"VALIDOS",4277224,0.847709283248501
"185","Paraná",1994,1,"VALIDOS",3948550,0.687134912537369
"186","Paraná",1998,1,"VALIDOS",4206908,0.658955140886656
"187","Paraná",2002,1,"VALIDOS",5067229,0.760459142288277
"188","Paraná",2002,2,"VALIDOS",4946625,0.742359621939673
"189","Paraná",2006,1,"VALIDOS",5571418,0.391182202804926
"190","Paraná",2006,2,"VALIDOS",5408120,0.379716670806853
"191","Paraná",2010,1,"VALIDOS",5935001,0.781126846686871
"192","Paraná",2010,2,"VALIDOS",5819302,0.765885676667455
"193","Paraná",2014,1,"VALIDOS",6062312,0.771171623158942
"194","Paraná",2014,2,"VALIDOS",6173765,0.785315216716581
"195","Pernambuco",1989,1,"VALIDOS",2826828,0.75098847201076
"196","Pernambuco",1989,2,"VALIDOS",2826828,0.75098847201076
"197","Pernambuco",1994,1,"VALIDOS",2567671,0.574686858486267
"198","Pernambuco",1998,1,"VALIDOS",2861352,0.558956066496064
"199","Pernambuco",2002,1,"VALIDOS",3569322,0.661393782495752
"200","Pernambuco",2002,2,"VALIDOS",3852805,0.713923056582887
"201","Pernambuco",2006,1,"VALIDOS",4220344,0.361670693281632
"202","Pernambuco",2006,2,"VALIDOS",4155058,0.356075880896294
"203","Pernambuco",2010,1,"VALIDOS",4451932,0.711601730951296
"204","Pernambuco",2010,2,"VALIDOS",4571188,0.730643771226319
"205","Pernambuco",2014,1,"VALIDOS",4808964,0.756857210712419
"206","Pernambuco",2014,2,"VALIDOS",4897431,0.770752902816722
"207","Piauí",1989,1,"VALIDOS",965072,0.72328937960641
"208","Piauí",1989,2,"VALIDOS",965072,0.72328937960641
"209","Piauí",1994,1,"VALIDOS",924924,0.567034155426718
"210","Piauí",1998,1,"VALIDOS",1003634,0.563475282822895
"211","Piauí",2002,1,"VALIDOS",1315285,0.711621864943418
"212","Piauí",2002,2,"VALIDOS",1358860,0.735197685214241
"213","Piauí",2006,1,"VALIDOS",1568953,0.378333728799173
"214","Piauí",2006,2,"VALIDOS",1573721,0.379483473386114
"215","Piauí",2010,1,"VALIDOS",1622041,0.717126420621594
"216","Piauí",2010,2,"VALIDOS",1589472,0.702705785454994
"217","Piauí",2014,1,"VALIDOS",1749382,0.746171852473644
"218","Piauí",2014,2,"VALIDOS",1768980,0.754521743395727
"219","R. G. do Norte",1989,1,"VALIDOS",979484,0.754559012948275
"220","R. G. do Norte",1989,2,"VALIDOS",979484,0.754559012948275
"221","R. G. do Norte",1994,1,"VALIDOS",943633,0.632838445401821
"222","R. G. do Norte",1998,1,"VALIDOS",1036781,0.599650660073165
"223","R. G. do Norte",2002,1,"VALIDOS",1331410,0.694389537400476
"224","R. G. do Norte",2002,2,"VALIDOS",1333575,0.695518681201764
"225","R. G. do Norte",2006,1,"VALIDOS",1583545,0.376829241594103
"226","R. G. do Norte",2006,2,"VALIDOS",1576362,0.375119934664164
"227","R. G. do Norte",2010,1,"VALIDOS",1635163,0.728320375570962
"228","R. G. do Norte",2010,2,"VALIDOS",1645498,0.73290444304094
"229","R. G. do Norte",2014,1,"VALIDOS",1664070,0.715242052400452
"230","R. G. do Norte",2014,2,"VALIDOS",1717587,0.738220340840665
"231","R. G. do Sul",1989,1,"VALIDOS",5207189,0.91346805109271
"232","R. G. do Sul",1989,2,"VALIDOS",5207189,0.91346805109271
"233","R. G. do Sul",1994,1,"VALIDOS",4810460,0.764047642153671
